sentence,class
Then  the boss plans the training and orders the materials,Relevant
Before starting an advance payment is requested,Relevant
The boss helps and supervises the client in his work,Relevant
At the end  the boss finalizes the accounts and send them to the customer,Relevant
Once the customer paid  the process is finished,Relevant
To start the process  check the order sheet to see which shop it is ,Relevant
Take a trolley and an empty box,Relevant
Write the name of the customer shop on the empty box,Relevant
Check the order sheet to see which item to take from which department of the warehouse ,Relevant
Go to this department ,Relevant
Pick up the item listed on the order sheet ,Relevant
Scan the item using the gun ,Relevant
Place the item in the box ,Relevant
Repeat steps 4 to 8 until the order is complete,Relevant
Close the box tightly,Relevant
Label the box ,Relevant
Place the box where all the order boxes are stored and the process is complete,Relevant
 To start the process  take a case of clothes and open it ,Relevant
 Take all the clothes out of the case ,Relevant
 Put a hanger on each garment  ,Relevant
 Place a lock on each garment ,Relevant
 If there are buttons on the clothes  make sure they are properly buttoned ,Relevant
 Put the clothes on the appropriate rack  woman   man   little girl   big girl   little boy   big boy   baby  ,Relevant
 Sort the clothes on the racks by size ,Relevant
 Put the racks on the sales floor of the shop ,Relevant
 Take racks to the appropriate department of the shop,Relevant
 Put the clothes away in their appropriate place and the process is finished,Relevant
 To start the process  take a box with  a stamp pad  the list of visitors  names and the wristbands for the visitors ,Relevant
 Sort the wristbands by color ,Relevant
 Set up the welcome stands and stand behind them,Relevant
 When a visitor arrives  greet them and ask for his ticket ,Relevant
 Scan the ticket information to find out what access to the stadium he is entitled to ,Relevant
 Based on the information in step 5  take a wristband of the matching color ,Relevant
 Remove the wristband sticker ,Relevant
 Put the bracelet on the visitor s wrist ,Relevant
 Make a stamp on his ticket ,Relevant
 Give the ticket back to the visitor ,Relevant
 Cross out their name on the list of attendees ,Relevant
 Direct the visitor  wish him her a good match and the process is over,Relevant
To start your registration  go to Facebook com,Relevant
This social network is an American company created in 2004 by Mark Zuckerberg,Irrelevant
Click on the  Create an account  button,Relevant
Then  in the  Sign up  window  fill in the required data with your personal information,Relevant
Set a password of at least six characters containing letters  numbers and special characters,Relevant
The longer the password  the more difficult it will be to discover,Irrelevant
Next  enter your date of birth and check the box for your gender,Relevant
Then click on the green  Register  button,Relevant
To validate your registration  copy the code you received in your mailbox and paste it in the field provided before clicking on  Continue ,Relevant
A message will be displayed announcing that your account is confirmed  click on  OK ,Relevant
To add a profile photo  click on the  Add a photo  button and follow the instructions,Relevant
Your profile picture will allow your friends to recognise you,Irrelevant
Finally  click on  Save  to finalise your registration,Relevant
Congratulations,Irrelevant
Cheesecake is THE new trendy pastry,Irrelevant
 To start  preheat your oven to 180C,Relevant
 Next  grease the bottom of the pan you will use to bake your cheesecake,Relevant
 Once this is done  crumble the biscuits into a bowl and mix with the melted butter,Relevant
 Spread the mixture on the bottom of the dish,Relevant
 Set aside in the fridge,Relevant
 In the meantime  beat the cottage cheese with a whisk and add the flour  eggs and sugar,Relevant
 You can add lemon peel or vanilla if you like,Irrelevant
 These will give your cheese cake more flavour,Irrelevant
 Carefully place the mixture on the crumbled biscuits,Relevant
 Bake for one hour,Relevant
 Finally  leave to cool before unmoulding,Relevant
 Thank you for following my recipe,Irrelevant
This is the process of offering a gift for a birthday,Irrelevant
The process start when I decide if I will buy the gift in one of the online applications or in a store,Relevant
If I m busy  I use the online applications  if I m not  I buy in a store,Relevant
If I decide to buy the gift online  I take a look in all online sites to find the gift corresponding to my budget and the offers,Relevant
If i choose what I m going to buy  the application check if I have already entered my data  if not  the application demands my data,Relevant
Then  I enter my credit card data and execute the payment  if I have enough money to execute the operation  then it will be executed  if not  the application will cancel my demand,Relevant
Aftrewards  if the operation went well  I choose if I sign on the arrival of purchased item or not,Relevant
Then the application gives me an estimated waiting time to receive the item,Relevant
Finally  when the time of reception of the item arrives  the deliverer comes to the address indicated in the application to give me the article,Relevant
I sign in his phone or in a paper that I received my order,Relevant
If I decide to buy the gift in a store  I go to see several stores,Relevant
When I choose what i m going to buy,Relevant
Then I choose if I m going to pay by cash or by credit card,Relevant
If I pay by cash  I give the salesperson the price of the item,Relevant
If not I pay by credit card  I enter the card code  and I take the gift,Relevant
In the end  I give my friend the gift,Relevant
This process is about looking for an internship,Irrelevant
I determine the sector in which I will be staging,Relevant
Then I establish a CV according to the sector I have chosen,Relevant
To apply for companies  I can either apply online or submit the CV to the company in person,Irrelevant
If I choose to apply online  I must post the CV on the site or send it by email to the targeted company,Relevant
If not  I drop it off in person,Relevant
In both cases  the company asks me to do a pre internship interview if they like my CV  if not  they have to inform me by phone or by email that my CV is not congruent to their criteria,Relevant
If I pass the interview  I start my internship directly  if not I will have to see another company,Relevant
 A customer needs new kid toys for his kid,Irrelevant
 The process starts when the customer clicks on order button and places his order  ,Relevant
 My store receives the order and informs me by a notification  ,Relevant
 I check the availability of the product from my supplier  ,Relevant
 If it is out of stock  the customer will get informed by a message and he reject his order manually or get his money back automatically  ,Relevant
 If the product still exists in the stock  I confirm his order  ,Relevant
 I ship his items attached with Invoice  ,Relevant
 After a given days  the customer receives his order ,Relevant
 New customer enters our agency,Relevant
 We check if he already exists in our database,Relevant
 If he exists  we propose him our services ,Relevant
 If he does not exist  we create a new account and then propose our services,Relevant
 If he reject our proposal  the process ends,Relevant
 If he accepts our services  we register his demand,Relevant
 We give him an appointment,Relevant
 After one week he still can refuse the demand or confirm,Irrelevant
Then  he receives the command,Relevant
The process is finished,Relevant
The process begins when someone is declaring a damage for which he wants to be compensated,Relevant
For that  he has several ways to state the incident,Irrelevant
The choice will impact the way the clerk will address the issue,Irrelevant
The claim management officer will firstly check if the person declaring is an actual client of Ethias,Relevant
For the application or the website channel  this check will be done by the person itself,Relevant
Obviously  the victim must be a client of Ethias in order to be compensated  if not  the process ends here by informing the victim the steps that he should follow in order to be eligible for the coverage,Relevant
In some cases  when the incident is claimed by phone  the clerk starts by asking the victim if he or she needs some support such as a tow truck for instance,Relevant
Then the victim will share key information with the officer of the claims management department to make the declaration,Relevant
Whether it is by phone or by mail  the information is transcribed into the IT system,Relevant
If the declaration is done via the form in the application or website of Ethias  the information ends up directly in the IT system,Relevant
After that  the case is opened for the client and the process may continue with the case instruction and examination to see if it meets the conditions to compensate the victim,Relevant
To this end  the clerk will assess if there is a matter of liability in the case or not  as well as checking if the client contract covers the damage that occurred and assessing the level of damage by means of experts or by his experience,Relevant
At the same time  the case handler decides which type of reservation the case should follow,Relevant
In the perspective of an actuarial reservation  he informs the actuarial department by sending the case to it,Relevant
In the other perspective  the clerk defines the amount to reserve by himself and sends it to the actuarial department to be approved,Relevant
The case handler sees if the coverage conditions are fulfilled  that is to say that for cases of engaged liabilities the client should be considered liable  otherwise it s not up to his insurance to compensate,Relevant
The other condition is that the contract should cover the damage,Relevant
In the end  a notification with the outcome will be sent to the client and if these conditions are well fulfilled  Ethias will compensate for the damage,Relevant
The case is finally settled or unsettled,Relevant
In order to understand the reservation process better  it is necessary to clarify its purpose in the context of an insurance company  reservation allows Ethias to deal with future compensation needs by means of statistical computation techniques   for example  someone broke his leg this year and because of that  he might have complications like a need for a surgery years later,Relevant
Then  his insurance will have to compensate him once again,Relevant
That s why  on the insurance side  they have to make a reservation in order to be prepared for these cases,Irrelevant
As seen in the claims management process  the clerk decides which type of reservation is needed based on his evaluation,Relevant
Actuarial reservation only deals with cases considered as recurrent and with a higher level of generality  also  they are most of the time short term cases,Irrelevant
Otherwise  the clerk determines and evaluates by himself the amount to reserve but still sends it to the actuarial department for approbation,Relevant
So for this process  when the claim management officer informs the actuary that the case needs an actuarial reservation  the latter collects all the data regarding the case by means of a database,Relevant
Then he analyzes it in order to fix new hypotheses which will be used for computation,Relevant
This computation is handled by a mathematical program,Relevant
Nevertheless  to find which model to use  the actuary follows precise guidelines and rules,Irrelevant
The outcome of this computation will be checked by the actuarial control 4,Relevant
If changes are needed  the actuary will adjust his model and repeat the computation,Relevant
After the approbation by the actuarial control  the assessment of the case is sent to the accounting department in order to be accounted for,Relevant
It s up to the actuary to communicate the reservation to the accounting department,Relevant
To initiate this process  a product manager from the marketing or sales department requests to price a product,Relevant
Then the actuary team of the tarification department will gather data and statistics about the type of incidence that the service covers,Relevant
The Ethias database is filled with information in order to develop a technical model of tarification to take into account the specific risks and give a first price for the premium,Relevant
But this price does not always comply with the market demand and customer needs  this is the reason why the actuary team and the product manager exchange information to compute a model more suitable for the market,Relevant
This second version of the model will be sent to the actuarial control in order to be reviewed and to check the perspective of profitability with the business plan,Relevant
When the review is done  if changes are needed the actuary team takes care of remodelling it and shows the model to the actuarial control once again until it s validated by it,Relevant
This validation must be followed by the agreement of all the stakeholders that are linked with this pricing process,Relevant
Their agreement is necessary before establishing the tariff and sending it to the product manager,Irrelevant
The underwriting process begins when a demand for insurance coverage is perceived by the sales department,Relevant
This demand is sent either by a peer to peer procedure between Ethias and the organisation  by a broker as an intermediate of the concerned company or by a tendering procedure on public markets,Relevant
This distinction doesn t change the process in essence  but rather in the outcomes and the channel of communication,Irrelevant
Then the demand is transferred into the CRM system of Ethias either by the sales officer or  in some cases  automatically,Relevant
Next  the sales officer checks if this demand comply with the business guidelines of Ethias in strategic or relationship terms,Relevant
Generally  the case complies and continues its path towards the underwriting department to follow two successive analysis procedures  first  an acceptance analysis which is made in order to make the decision to keep such demand or to reject it,Relevant
If the underwriter doesn t accept it then the process ends  otherwise he proceeds  in a second time  to a tarification analysis,Relevant
These two phases are modelled as subprocesses which consist of multiple tasks that should be done before setting the tariff and the offer,Relevant
In addition  a competence scheme helps to decide whether the offer needs to be agreed by two other third parties  BOL and HAC  or not  depending on the offer,Irrelevant
They can eventually ask for adjustment before pursuing the process,Relevant
Later on  if the third parties agreed when needed  the underwriter decides the channel through which he will make the offer,Relevant
