sentence,class
 If not  a message notifies the traveller and go back to the initial reservation screen,Relevant
The traveller continues his booking by pressing  Confirm reservation ,Relevant
The traveller needs to pay for his reservation in a period of time,Relevant
 If the customer doesn t pay for his booking within the 7 days  the reservation is cancelled and a cancelation notification is sent to the traveller,Relevant
 For example   We are sorry to announce you that your reservation   is cancelled,Irrelevant
Few moments after the payment confirmation  boarding pass and travel information are sent to the traveller,Relevant
The booking is completed,Relevant
The process starts when a customer orders an item online,Relevant
The call center or the secretary are notified by the order,Relevant
The warehouse employees are notified by the call center,Relevant
A message is sent to the call center if the item is available or not  if not the company should order it as soon as possible ,Relevant
The call center calls the customer to confirm his purchase,Relevant
The item is dispatched to a local distributor,Relevant
The call center sends to the customer a tracking number,Relevant
The day of delivery the customer receives a notification by the local post about the gap of time when the item will be delivered,Relevant
The customer gives cash to the delivery man,Relevant
The local distributor transfers the money to the company  the process is finished,Relevant
The process starts when the land is available for construction,Relevant
The land owner consults the architect to create the building design,Relevant
The land owner prepares the budget of the constructions,Relevant
The land owner goes to the legal authority to get the building permits,Relevant
The land owner calls a construction company,Relevant
After the constructions are done the owner calls a painter,Relevant
Then the owner calls an electrical and plumbing company to install the electricity  the gas and water,Relevant
The owner chooses the electricity gas and water company to deal with for paying the bills,Relevant
When everything is finished the owner makes a control if there is something missing,Relevant
Finally  the owner gets a warranty period where he can claim any defects found  the process is finished,Relevant
The process is about a new client who wishes to buy new tires in a tire company,Irrelevant
The process starts when the customer comes  or call  to the company and ask for a quote,Relevant
The employee asks which types of tire he wants  summer  winter or all season  and in which dimension,Relevant
The tire company establishes the quote,Relevant
Then  the employee explains the quote to the client  or send it by email if it is by phone ,Relevant
The customer chooses which brand and profile he wants,Relevant
The company creates the customer account with his personal and cars information,Relevant
The goal of the creation of the profile is to have a name associate to the order,Irrelevant
The employee places the order and make the appointment to put the tires,Relevant
Then  the tires arrive in the tire warehouse,Relevant
The customer comes in the company and the company prints the working sheet,Relevant
The goal of the working sheet is to give the information about what is going to be done to the workshop,Irrelevant
This sheet must be completed by the workshop s workers and returned to the employee in the office,Relevant
The workers put the tires on the car,Relevant
The employee prints the invoice and give it to the customer,Relevant
The customer pays the invoice and leaves the company,Relevant
The process is about a purchase to Zalando,Irrelevant
The customer opens the Zalando app  or goes to the website ,Relevant
On the website  the customer chooses what he wants to buy,Relevant
The client can apply a filter to select a size  a color  a brand   ,Irrelevant
When he finds something good  he add it to the cart or add it to favorite,Relevant
Once he finds all he wants  he goes to cart and clicks on  place an order ,Relevant
Then  If the customer has not created an account yet  he creates it,Relevant
 Otherwise  he connects to his existing account,Relevant
Now  the customer encodes his delivery and billing address,Relevant
The customer chooses his means of payment,Relevant
If the customer chooses the invoice method  the payment will be made at the end of the processes,Relevant
The next steps consider other methods that invoice,Irrelevant
The customer pays the order and receive an email confirmation,Relevant
Zalando prepares the order and sends it to the client,Relevant
Few days later  the customer receives the order,Relevant
The customer tries the clothes he buys and can decide to keep all or to resend some of the items,Relevant
If the customer decides to resend some items  he has to make the package and place the shipment label,Relevant
Then  the customer deposits it in a b post point,Relevant
Zalando receives the package and the process is finished,Relevant
Process starts when a customer need want a pizza ,Relevant
Customer check choice of pizza at the vendor  8 different choices  ,Relevant
Customer choose one pizza  fe pepperoni  ,Relevant
Vendor check avaibility of all the ingredients for the pizza ,Relevant
Vendor notify the customer that pizza is avaible ,Relevant
Vendor prpose 2 possinilities to customer  Heat the pizza  1€ Don t heat the pizza ,Relevant
Customer choose the wanted option ,Relevant
Vendor send payment notification to customer ,Relevant
Customer pay  only by credit card  ,Relevant
Vendor check if payment is done and notify the customer the payment succeed ,Relevant
Vendor starts making the pizza and send time notification to customer ,Relevant
Customer wait ,Relevant
Vendor notify the customer when the pizza is finished ,Relevant
Customer pick up the pizza and enjoy his meal  process is finished,Relevant
The process starts when a company have a need for audit and contact ,Relevant
He contact Hec Consulting for informations and set appointment,Relevant
Hec Consulting do prospection and send mail to companies ,Relevant
Once a company have a need and Hec consulting shares information and set appointment ,Relevant
Needs are exchanges during first appointment  Different options Hec Consulting can t help  Process stop Second appointment is schedule  to do further in detail   back to set appointment  An Offer I asked ,Relevant
Hec Consulting starts the offer and notify the company when it is finished ,Relevant
Company receive notification and analyze the offer  ,Relevant
If offer is not accepted  process finished ,Relevant
If offer needs to be changes  HEC makes an other offer ,Relevant
If the offer is accepted  HEC asks for a 30% deposit ,Relevant
The company pays the deposit,Relevant
