sentence,class
The customer enters his address in the  Deliver to  section,Relevant
The customer moves to the delivery method,Relevant
If the customer chooses  Normal   the customer is charged €4 95,Relevant
If the customer chooses  Express   the customer is charged €9 95,Relevant
If the customer chooses  International Click and Collect   the customer is charged €6,Relevant
After choosing the delivery method  the customer moves to the  Payment  section,Relevant
The customers enters the billing address,Relevant
The customers clicks on  Pay now ,Relevant
If the customer chooses Paypal as payment method  he enters his Paypal password,Relevant
If the customer chooses Bank Card as payment method  he enters his card number and then his pin code,Relevant
A tax consultancy company wishes to recruit young graduates,Irrelevant
After an application has been received  an HR employee verifies that the required competence criteria are met,Relevant
If the criteria are not met  the process ends by sending an automated customized rejection to the applicant,Relevant
If they are met  the candidate takes knowledge tests,Relevant
If the test is not passed  the process ends by sending an automated customized rejection to the applicant,Relevant
If it is passed  the HR employee coordinates an interview between the applicant and his potential future colleagues,Relevant
The questions asked will be designed to discover the candidate s personality and work methods,Relevant
As soon as the interview has been conducted  the interviewers debrief it,Relevant
If they decide that the candidate s profile is not suitable for the vacant position  the process ends by sending an automated customized rejection to the applicant,Relevant
If they decide that the profile is suitable  the HR employee creates an employment contract and sends it to the applicant,Relevant
A payment service company must establish a process to fulfill its legal obligations,Irrelevant
When a customer requests to open an account  a request for information is sent to the customer to verify his or her identity,Relevant
Among the elements requested  a copy of the identity card is demanded,Relevant
If the customer refuses  the account is not opened,Relevant
If the customer complies with the request for information  the account is opened,Relevant
When the account is opened  the degree of risk and the nature of the business relationship is assessed,Relevant
If the assessed risk is low  the profile will be assessed again after 6 months,Relevant
If the assessed risk is high  continuous vigilance must be carried out on the client s various transactions,Relevant
Within the framework of this continuous vigilance  if atypical operations with regard to the client s profile are detected  a request for justification is notified to the client,Relevant
If the client responds appropriately  the transaction is carried out,Relevant
If this is not the case  the transaction is not carried out and a suspicion report is notified to the authorities,Relevant
The purpose is to enable state authorities to investigate the client s activities if the elements provided are conclusive,Irrelevant
Casa is a Dutch company who sell decorations for house,Irrelevant
The process start when a customer go on the website and put articles in his shopping basket,Relevant
For example  he can take a desk,Irrelevant
After that  he must include its personal information and payment procedures,Relevant
He receive a email who comfirm his command,Relevant
