sentence,class
 Once the night has passed  the company passes the tomatoes through a machine that costs around € 500 and which is made of iron  which presses the tomato ,Relevant
 The company installs bed sheets to filter the water and preserve the tomato juice ,Relevant
 Like when you use a sieve to filter the solid ,Irrelevant
 The juice is collected and cooked for 5 hours  adding salt regularly   La Baleine  brand salt  ,Relevant
 The sauce is then bottled ,Relevant
 The company checks that the caps close properly to promote sterilization  ,Relevant
 The company places the bottles under cover to maintain the sterilization phase  ,Relevant
 The company puts the bottles in the cold warehouse,Relevant
 The diploma department is part of the University,Irrelevant
 The process starts when a graduated student call to make a appointment for receiving his diploma,Relevant
 The employee asks for the disponibilities of the student,Relevant
 The student communicates his agenda,Relevant
 For example  Tuesday and Wednesday afternoon,Irrelevant
 The employee makes a appointment regarding the disponibility,Relevant
 On the due date  the student arrives,Relevant
 The employee asks the student to present his ID card,Relevant
 The student gives his ID card,Relevant
 The employee gives the diploma to the student and gives some information,Relevant
 The diploma contains the languages of learning  the title of the thesis and the grades,Irrelevant
 The student reads and checks if all the information are correct,Relevant
 If there is a mistake  the diploma is sent back to the faculty and the process has to restart,Relevant
 If there is no mistake  the student signs his diploma to validate it,Relevant
 Meanwhile  the employee writes the ID information on the acknowledgement of receipt,Relevant
 The student signs the acknowledgement of receipt to confirm that he has received the diploma,Relevant
 The student leaves with his diploma,Relevant
 The employee desinfects the place for the next student  the process is finished,Relevant
 The process starts when a new year starts,Relevant
 The scanning of the acknowledgement receipts has the objective to keep documents available for many years,Irrelevant
 The student takes the acknowledgement receipts with names beginning with one specific letter and from the previous year,Relevant
 The student sorts the acknowledgement receipt by alphabetical order,Relevant
 For example  first Anom Dupont and then Azul Benjamin,Irrelevant
 In addition  the student unties the potential sheets of paper attached to them with a staple,Relevant
 The student scans the acknowledgment receipts,Relevant
 The student transfers the PDF file into the appropriate folder,Relevant
 The student opens the PDF file,Relevant
 The student renames individually each acknowledgement receipt by the name of the person who signed it,Relevant
 When all the acknowledgement receipts are renamed  the student deletes the original PDF file,Relevant
 The objective is to avoid having twice the same document,Irrelevant
