sentence,class
The payment is validated by the bank ,Relevant
By going through this authentication  the customer s bank account is protected,Irrelevant
Zara receives the order ,Relevant
An employee collects the documents ,Relevant
Zara sends the package ,Relevant
The customer receives the package at home,Relevant
The customer goes to the airport ,Relevant
The customer shows his papers and ticket at the check in,Relevant
The flight attendant checks the customer s information ,Relevant
The customer chooses seat ,Relevant
For example  in the back or in the front  or at the window,Irrelevant
The customer checks his luggage in the hold ,Relevant
The customer pays an extra weight for his luggage ,Relevant
For example  10 € per additional kg,Irrelevant
The customer goes through the security gate ,Relevant
The police officer searches the customer ,Relevant
The customer s luggage is inspected,Relevant
The customer waits for his flight at the gate,Relevant
The customer shows his ticket to the stewardess ,Relevant
The flight attendant checks his information,Relevant
The customer boards the plane,Relevant
The plane takes off ,Relevant
The plane lands ,Relevant
The customer shows his identity documents to the customs ,Relevant
Customs take a picture of the customer entering the country ,Relevant
Customs checks his information ,Relevant
The customer collects his luggage ,Relevant
The customer leaves the airport,Relevant
Deliveroo is a food delivery service founded in 2013,Irrelevant
The process starts when I go on the app to order food,Relevant
I select a menu among those proposed,Relevant
Deliveroo has a large choice of food from various restaurants,Irrelevant
Once I have chosen the menu  I pay via the app on my smartphone,Relevant
Deliveroo receives a notification with the payment and the order,Relevant
At the same time  the restaurant also receives a notification with the order that needs to be cooked,Relevant
The restaurant starts preparing the food,Relevant
As the food is prepared  The Deliveroo rider goes to the restaurant ,Relevant
The rider picks up the menu at the restaurant,Relevant
When the rider has the order in his hand  I receive a notification that my order is on the go,Relevant
The rider goes to my address mentioned in the order,Relevant
Sometimes the delivery takes more time because of traffic,Irrelevant
After a few minutes  the Deliveroo rider rings to my door to supply me with my order,Relevant
I take the food and the process is finished,Relevant
The process starts when I go on the Airbnb website,Relevant
I put the dates when I want an Airbnb as well as the location where I want to go,Relevant
Airbnb proposes a wide range of accommodation such as flats  rooms or entire houses,Irrelevant
I compare the options that Airbnb suggests me ,Relevant
Most of the time I love more than one flat and I take time to choose my favorite ,Irrelevant
I choose the flat I want to book,Relevant
To book the Airbnb  I must fulfil my personal information,Relevant
Then I pay for the Airbnb ,Relevant
After the payment  I receive a confirmation by email for the reservation,Relevant
The host receives a notification that his flat has been rented with all the info he needs,Relevant
I print the document that states that I booked the flat ,Relevant
I go to the Airbnb on the date I chose,Relevant
I present the confirmation of the booking at the D day and it is the end of the process of the booking of the Airbnb,Relevant
Myntra is a popular fashion ecommerce website in India,Irrelevant
 When a customer wants to buy clothes  they first start by searching for the items they want,Relevant
 A customer can search for an item by typing into the search bar or by using filters on the available categories,Irrelevant
 They can also browse through sales or displayed collections,Irrelevant
 Once they have selected the item and other particulars such as the colour and size  they add it to their cart,Relevant
 This process is repeated until the customer has added all required items into the cart,Relevant
 Then they go to the cart and proceed with the order,Relevant
 At this point  the customer chooses to create an account with Myntra or make the purchase as a guest,Relevant
 Next  they fill out the delivery address,Relevant
 Then the customer chooses a method of payment from several options,Relevant
 Payment methods include credit debit card  cash on delivery  net banking and payment wallets,Irrelevant
 Once the payment is confirmed  the customer is notified of the order via email and text message,Relevant
 The ordering process is completed,Relevant
Apple jam is a delicious and healthy option to eat along with different breads,Irrelevant
To make apple jam  you will require 4 apples  1 cup of sugar and water,Irrelevant
First  peel and cut the apples into small cubes,Relevant
Next  place them in a shallow pan and fill it with just enough water to cover the apples,Relevant
Then cook the apples until the pieces start to become soft and translucent,Relevant
This can be done on the stove or in a microwave,Irrelevant
Stick a knife into a few of the pieces to make sure they are cooked,Relevant
Wait for the apples to cool off,Relevant
Once they are at room temperature again  transfer the apples and water to a mixer,Relevant
Add the sugar and blend until smooth,Relevant
Add water if it is too thick,Relevant
Once you get a smooth mixture  transfer it back to the pan and cook on a slow flame,Relevant
Make sure to continuously turn the mixture while on the stove,Relevant
If using a microwave  then heat at intervals of 45 seconds and turn the mixture in between,Relevant
Do this until the mixture starts thickening and becomes gelatinous,Irrelevant
Take the mixture off the heat or out of the microwave when it has reached a jam like consistency,Relevant
Let the jam cool off in the fridge and enjoy!,Relevant
The process starts when the clients calls the restaurant to reserve a table,Relevant
The clients enter the restaurant,Relevant
A waitress welcomes the client and conduct customers to their table,Relevant
An other waitress brings the menu to the customer s table,Relevant
A few minutes later  the waitress comes to take the drinks and plates order,Relevant
For exemple  a children has chosen a pizza,Irrelevant
The order is sent to the kitchen,Relevant
The cookers prepare the order,Relevant
Once all the table s plate are ready  the waitress comes in the kitchen to take the plates,Relevant
The waitress carry the plates to the table,Relevant
The clients eat their order,Relevant
Once they have finished since a few minutes  the waitress comes to the table to clear the table,Relevant
The waitress comes back to the table a few minutes later to propose a dessert,Relevant
The clients choose their dessert,Relevant
The waitress go back to the kitchen to give the order to the cooker,Relevant
The cooker prepare the desserts,Relevant
The waitress comes back to the kitchen to bring dessert to the table once the desserts are ready in the kitchen,Relevant
There was 4 desserts ordered,Irrelevant
The clients eat their dessert,Relevant
The waitress comes back to clear the tables once the clients have finished to eat,Relevant
The waitress waits until the clients ask for the bill,Relevant
The bill is brought to the table by the waitress,Relevant
The clients get up to go pay the bill at the restaurant cashier and leaves the restaurant,Relevant
The LAB9 company is an official reseller of Apple product and repaire damaged devices,Irrelevant
The process starts when a customer enters the shop,Relevant
A seller welcomes the client and asks the in what he can help,Relevant
The clients explains his problem with the device he owns and that need a reparation,Relevant
The seller charge a quote to the client,Relevant
The client give his device to the seller and leave the shop,Relevant
A repairer takes charge of the device and find the problem,Relevant
An email is sent by the repairer to communicate the price of the repair and to obtain the customer s agreement,Relevant
The customer thinks that the cost is very high but has no other choice than to accept to pay the repair,Irrelevant
The customer answer the mail by a positive response,Relevant
The repairer makes the reparation,Relevant
Once the reparation is done  a sms is sent to the client to notify him that he can come retrieve is device at the shop,Relevant
The customer arrives at the shop,Relevant
A seller welcomes him and asks what he is coming for,Relevant
They go to the cashier so that the client pays the price of the repair and take back his device,Relevant
Burger King is a fast food restaurant that serves all kinds of burgers  fries  desserts etc,Irrelevant
There are about 40 shops in Belgium and I worked in one of them last summer,Irrelevant
The process starts when the client is hungry and decides to eat a meal,Relevant
He can choose to order on an app like UberEats and have it brought to his home or he can go directly to the nearest Burger King shop,Relevant
If he goes to a shop  he can choose to order at the kiosk or near a cashier,Relevant
If he orders at the kiosk  he will be asked to scan the QR code on his app to earn points based on the amount he will spend,Relevant
Then he chooses the burger he wants from a list of 15 more or less,Relevant
He also chooses his drink and the size of his menu  medium or large ,Relevant
When he has chosen everything he wants  he pay for his order,Relevant
When his order is finalised  he receives a number  by which he will be called when his order is ready,Relevant
At this moment  the cooks start to prepare the burger,Relevant
The fries are already ready because they are continuously cooked,Irrelevant
At the same time  a student prepares the tray with a napkin  drink and dessert  if any ,Relevant
The preparation should not take longer than 6 minutes,Irrelevant
When all the parts of the order are ready  the student puts everything on the tray and calls the customer by his number so that he can collect it,Relevant
The process ends when the customer leaves with his meal,Relevant
UberEats is an application where you can order a meal at any time of the day  ,Irrelevant
This allows customers to have a wide choice of restaurants without having to go there ,Irrelevant
The process starts when the hungry customer goes to the app to decide what he wants to eat,Relevant
He chooses the restaurant where he wants to order and looks at the dishes that restaurant offers,Relevant
This evening  the customer wants sushis,Irrelevant
He clicks on the  Sushi shop  shop and chooses whether he prefers to order a box of 20 ready made sushi or whether he prefers to choose sushi by the piece,Relevant
When he has selected everything he wants  he confirms his order and the payment is made automatically if he has already ordered before because his bank details have been registered,Relevant
The customer receives an approximate delivery time depending on the number of orders that the sushi shop has to prepare before his,Relevant
Then the sushiman starts preparing the sushis and putting them in a box to keep them safe during the transport,Relevant
Meanwhile  the UberEats delivery man is cycling to sushi shop and the customer receives notifications as the order progresses,Relevant
When the order is ready  the deliveryman puts the box of sushi in his backpack and leaves for the customer s address,Relevant
The customer can observe the driver s route on the Uber map,Irrelevant
When the driver is at the door  he sends a message to the customer to pick up his order,Relevant
The customer leaves a tip for the driver if he wants to  this is where the process ends,Relevant
Pizzeria Trinacria is a pizzeria which offers pizza  pasta and meat,Irrelevant
The process starts when employees arrive in the pizzeria,Relevant
Employees do the set up,Relevant
The set up includes preparing the dough  cutting the vegetables  setting the tables and things like that,Irrelevant
Customer can place an order from 5 30pm to 9 00pm,Irrelevant
Employees receive a call from customer who would like to order a meal,Relevant
Employees ask to the customer what kind of meal they want,Relevant
Employees communicate to the customer when the order will be ready,Relevant
Employees cook the meal,Relevant
Meanwhile  the customer drives to the pizzeria,Relevant
When the customer arrives and the meal is ready  employees ask for the payment,Relevant
The customer pays for the order,Relevant
The customer can pay by cash or by bank transfer,Irrelevant
When the order is paid  employees give the order to the customer,Relevant
When it s 9 00pm employees clean the whole pizzeria and then the process is finish,Relevant
Customer looks in his fridge and cupboards after some food,Relevant
Customer notices there is nothing to eat,Relevant
Customer thinks about what he wants to eat,Relevant
Customer writes his shopping list,Relevant
The customer can write his shopping list on a paper of in his phone,Irrelevant
Customer goes to the shop,Relevant
The customer can go to the shop by car  by bus or on foot,Irrelevant
Customer takes a caddy and enter in the shop,Relevant
Customer looks after his products,Relevant
If he doesn t find what he is looking for  he asks to a shop s employee,Relevant
When the customer has all he needs  he goes to the cashier,Relevant
The cashier scans the products,Relevant
Then the cashier communicates de price,Relevant
The customer pays,Relevant
The customer can pay by card or by cash,Irrelevant
Then the cashier gives the ticket to the customer,Relevant
The customer goes back home,Relevant
The customer can do it by car  by bus or on foot for example,Irrelevant
The customer put the product in his fridge and cupboards and then the process is finish,Relevant
VINTED is an online second hand sales platform,Irrelevant
The process on vinted starts when a new user registers on the vinted app,Relevant
Then the user will have the possibility to post some clothes that he would like to sell,Irrelevant
In this step  he will take a picture of the garment and then he will enter the important information about the garment such as size  condition  color  brand and of course the price,Relevant
Then he will post the article on the platform,Relevant
The article will be followed by several vinties,Relevant
A potential buyer will make an offer to buy  often below the offer  and will have a discussion with the seller,Relevant
Either the seller accepts the offer and decides to conclude the sale  or the seller refuses the offer and the sale is not concluded,Relevant
When the offer is concluded the seller will receive a dispatch note with the buyer s details which he will place on the shipping carton containing the product,Relevant
Then he will go to a shipping point to send his package,Relevant
Finally  he will receive the money when the buyer has received his package,Relevant
The car park of the bank can be accessed by crossing the car park of the supermarket next to it,Irrelevant
Whenever a client presents themselves at the reception for an appointment  the receptionist warns the banker that their client has arrived,Relevant
The identity of the client is checked by inserting the ID card into the reader,Relevant
After that  the customer is told by the receptionist to wait in the waiting room for the banker,Relevant
There are some magazines and flyers lying on the table to make the waiting time more enjoyable,Irrelevant
Later on  the banker comes to pick up the customer to go to their office,Relevant
The banker must guide the customer to the office because there are several doors that required to be opened with an electronic badge,Relevant
The lights turn green when the door is opened,Relevant
Once the customer is sitting in the office  they are offered a drink by the banker,Relevant
From that point  the counselling session begins,Relevant
The banker logs themselves in the software of the bank to access the data about their clients  accounts,Relevant
The representative of the intercultural has the mission to gather in the airport hall all the exchange students coming from the different flights,Irrelevant
The representative receives a call from the exchange students once they landed to be informed about where the encounter zone is located in the airport,Relevant
Once the exchange students have arrived at the encounter zone  the representative guides them to the other exchange students who arrived earlier that day,Relevant
The students get to know each other while waiting for the remaining flights to land,Relevant
The representative of the agency makes sure that everyone on their list is sitting in the airport hall,Relevant
Then  all the students are split into groups according to the part of the country where their host family lives,Relevant
In England  a host family must host 2 students at a time,Irrelevant
Therefore  the representative puts the pair of the students in touch with each other,Relevant
The students are brought to the car park of the airport where some taxicabs are waiting for them,Relevant
According to the destination of the students  they are sent in different taxicabs that will drive them to their host families,Relevant
Once all the luggage fits inside the cab  the exchange students leave the airport,Relevant
Intermarché is a supermarket chain,Irrelevant
The process start when the director of the shop received a broken good inside the Intermarché truck,Relevant
The director has to write a reclamation form ,Relevant
The director sends the reclamation form and wait for the response of Intermarché Warehouse,Relevant
The employee in the warehouse receives the complain,Relevant
In the warehouse there are more or less 80 employees,Irrelevant
The employee in the warehouse check if the complaint is well written,Relevant
The employee reimburse the director of the shop,Relevant
The director receives a message to say that the payment has been done,Relevant
The payment is received by the director,Relevant
The director is happy with the payment,Irrelevant
Bénin is a country in Africa,Irrelevant
The customer send the demand to the travel agency for a trip to Bénin,Relevant
The travel agency send a proposition to the client,Relevant
The client accept the proposition,Relevant
The client pays the travel agency,Relevant
The client goes to a vaccine center in order to have its vaccine,Relevant
The are some traffic jams on the road,Irrelevant
The client prepares its suitcase,Relevant
The client goes to the airport,Relevant
The client takes a plan,Relevant
There are different destination in the airport ,Irrelevant
The client arrive in Bénin,Relevant
IKEA is a retail shop  where you can buy furniture for your house,Irrelevant
The process starts when a customer buys an item from IKEA,Relevant
For example  the client has bought a new chair for his office  he needed a new one,Irrelevant
IKEA sales department receives a notification saying that this customer has purchased that specific item,Relevant
The employee then checks the availability of the item in stock,Relevant
If the item is in stock  the item gets out of stock and the order will proceed,Relevant
If the item is not in stock  the order will be cancelled  and a notification of cancellation is sent to the customer,Relevant
The item has been taken out of stock  now the employee checks if the payment has been received,Relevant
If yes  the item is finalised to be sent to the customer,Relevant
The item is in silver paper and with some flowers,Irrelevant
If not  the order is cancelled  and the customer will be notified,Relevant
The client will receive an email  in which IKEA politely apologises for the inconvenience,Relevant
The item is being shipped and sent to the customers address,Relevant
After shipping and receiving the item  the process ends,Relevant
Tango is a telecommunication shop in which you can have a contract which gives you free communication and a small fee for buying a new mobile phone,Irrelevant
The process starts when the client comes into the shop and gives the employee his phone number,Relevant
A client database is associated to the phone number given by the customer,Irrelevant
After opening the customers file  we have access to his data,Irrelevant
The client wants to extend his contract and wants to buy a new phone,Irrelevant
The employee has to see if the phone is available in their shop  ,Relevant
If it s available  he calculates the amount the client needs to pay according to his contract,Relevant
If it s not available  the process is cancelled  and the client leaves the shop,Relevant
After calculating the amount  the employee informs the client,Relevant
The client has 2 choices,Irrelevant
Either he accepts it  or he denies it,Relevant
If it s accepted  a new contract is printed  and the mobile phone is taken out of the stock of the shop,Relevant
If he denies it  the process ends,Relevant
The mobile phone is being taken out of the stock and the new contract is sign by the customer,Relevant
After signing  the contract starts   is valid  begins   the customer can use his new mobile phone,Irrelevant
Coming home  the customer switchs his mobiles phone  to start using his new one,Relevant
At the end of the month  the client receives a new bill and pays the new amount  and the process ends,Relevant
Deliveroo is an online app that provides delivery services in a lot of cities around the world,Irrelevant
Download the app on the app store or play store,Relevant
Create an account in order to fill in all the necessary information  address  phone number  email  payment method  etc,Relevant
Browse the different restaurants in order to see what you fancy eating drinking,Relevant
Choose your desired meal,Relevant
Confirm the order,Relevant
The estimated time of delivery is written on the order confirmation page,Irrelevant
Pay to finalize the order,Relevant
The restaurant in which the order has been made confirms the order,Relevant
In the meantime  the customer waits for the order confirmation by the desired restaurant,Relevant
The restaurant prepares the order,Relevant
A driver is assigned to the order,Relevant
The driver drives to the assigned restaurant,Relevant
Once finished  the order is transferred to the driver,Relevant
The customer receives a notification confirming the order transfer to the driver,Relevant
The driver heads to the delivery address,Relevant
The delivery time can vary depending on the driver s speed and location,Irrelevant
The customer receives a notification when the driver is nearly arrived,Relevant
When arrived  the order is handed to the customer,Relevant
Remove the individual parts of the drums from their covers,Relevant
Prepare the positioning area by adding a rug,Relevant
The rug prevents the drum set to slide while playing,Irrelevant
Build up the drum set to the drummer s preference,Relevant
Tune the snare drum and the toms,Relevant
A bad tuning of the snare and toms can result in unpleasant sound during the concert,Irrelevant
Order the various songs that will be played,Relevant
Install the microphones to various parts of the drum set,Relevant
Check the volume levels of every microphone,Relevant
Do an overall soundcheck of the drum set,Relevant
During the soundcheck  the sound engineer can see if some microphone volumes are set too high or too low,Irrelevant
Do an overall soundcheck with the whole band,Relevant
Adjust the levels again  if necessary,Relevant
The drum set is ready for the concert,Irrelevant
 Marmiton is the first cooking website in France,Irrelevant
 Heat a wok or a large pan  ,Relevant
 Add 1 spoon of oil and add basil,Relevant
 Let it fry for a minute ,Relevant
 Remove it and wring it out on paper,Relevant
 Add another spoonful of oil to the pan  brown the chicken  add salt and paprika ,Relevant
 Cook for 4 5 minutes ,Relevant
 Add the eggs and mix well,Relevant
 It should look like scrambled eggs,Irrelevant
 Remove everything and put in a dish ,Relevant
 Add the last spoonful of oil to the pan,Relevant
 Put the garlic  vinegar  nuoc nam and sugar,Relevant
 For example  you can find nuoc nam at Carrefour ,Irrelevant
 Cook for 2 minutes ,Relevant
 Add the pasta  which you cooked  to this sauce  ,Relevant
 Add the chili and peanuts  add the chicken and vegetables to everything and mix well,Relevant
 Put everything is a dish  garnish with the fried basil and lemon slices,Relevant
 Bon appétit! ,Irrelevant
 First  begin by removing your makeup thoroughly,Relevant
 For example  choose a mild cleansing milk ,Irrelevant
 Wet your face lightly ,Relevant
 Gently rub your face with a scrub,Relevant
 Rinse off with a soft cloth dampened in lukewarm water,Relevant
 Do a facial sauna or place your head over a basin filled with hot water for 15 minutes to open the pores,Relevant
 The steam will allow the pores to open  zero blackheads goal !,Relevant
 Once the pores opened  remove the blackheads by pressing the skin with a tissue,Relevant
 Spread the cleansing mask all over your face,Relevant
 This type of mask contains clay,Relevant
 Leave on for about 20 minutes,Relevant
 Rinse off the face with a soft cotton or a cloth soaked in lukewarm water,Relevant
 Apply a hydrating or radiance mask,Relevant
 The mask must be adapted to your skin type,Irrelevant
 Finish your facial care by applying your day cream,Relevant
The process starts when a customer calls to reserve a table,Relevant
The call is accepted by an employee and the reservation  date  name  number of people    is registered,Relevant
At the reservation date  the process continues when the client enters the restaurant,Relevant
An employee welcomes the client and escorts him her to the table,Relevant
The employee gives the menu to the client,Relevant
Then the employee asks for the aperitif,Relevant
The customer communicates his choice to the employee,Relevant
For example a coke  a sprite or a cocktail,Irrelevant
The employee prepares the aperitif and brings it to the customer,Relevant
Then the employee asks for the dish,Relevant
The customer communicates his choice to the employee,Relevant
The employee communicates the customer s choice to the kitchen,Relevant
The kitchen prepares the dish,Relevant
