sentence,class
Before every publication  digital or paper  the articles are corrected by a spelling software a first time and a second time by a professional reviewer whose job is to avoid mistakes in the spelling and to ensure an optimal layout for the article,Relevant
Once the page for the daily newspaper is finished  it is sent to the rotary press in Nivelles,Relevant
This concludes the article writing and publishing process,Relevant
As soon as the pages from the different upcoming newspapers are received  the printing process begins at the Nivelles printing,Relevant
First  relief plates are made for every single page of each newspaper,Relevant
Then  these plates are put four by four on the rotary press,Relevant
Once this step is operated  the rotary press is switched on,Relevant
Then  plates go in the four primary colors and the newspapers  pages are printed,Relevant
At this stage  a mechanical system allows to assemble pages with one another  fold and bind them to form the newspaper,Relevant
The newspapers are then automatically packaged and are ready to be shipped,Relevant
During the whole work of the machine  printing  assembling     the work of the employee is simply reduced to monitor the machine,Irrelevant
The supply process of daily newspapers is critical and is obviously relying on the nature of past processes,Irrelevant
Any delay can be toxic for the supply process and could cause terrible financial losses for Sudpresse and for booksellers themselves,Irrelevant
First  we will focus on individual newspaper delivery,Irrelevant
Newspapers must be ready for delivery at 01 00 a m    they are put into trucks and taken to the sorting office in Brussels,Relevant
They are then charged 30 minutes before the departure into night trains taking them to the cities where the different sorting centers are located,Relevant
Once the newspapers are in those centers  vans are used to deliver them to the local post offices,Relevant
The postmen then deliver the newspapers in individual mailboxes,Relevant
This must take place before 7 30am  as it is essential that a good part of workers have enough time to read their newspaper before going to work,Relevant
We will now focus on bookshops delivery,Irrelevant
Instead of going to the Sorting post office in Brussels  trucks go straight to regional private delivery centers,Relevant
Newspapers are then sorted and dispatched in vans that deliver over four thousand bookshops all over Belgium,Relevant
This type of delivery should take place even earlier than the individual deliveries  7am at the latest  as bookshops make half of their daily sales before 9 am,Irrelevant
Through this process description  we realize that timing is essential in the press sector,Irrelevant
Nowadays  writing and creating new articles does not suffice to create enough value for multimedia companies,Irrelevant
Therefore  various advertising processes are in constant change in the press industry and are therefore impossible to describe entirely,Irrelevant
Nevertheless  thanks to the two interviews we have conducted with our contacts at Sudpresse  we were able to identify some crucial steps in these processes,Irrelevant
We established earlier that there is a market department running many analyses in order to determine what are the best advertising spots on the website  which format  which size  which colors  which position on the page  etc,Relevant
The IT department will then determine who sees what advert and most importantly  these people s background and profile by using big data,Relevant
Once the advertising spots have been defined  it is time for the sales department to intervene,Relevant
Using the data previously collected  sales teams have to sell these spots to advertisers,Relevant
Advertisers have many options,Irrelevant
On the newspaper  they can choose to advertise on a quarter of a page  half a page or an entire page  knowing that each of these options has a different cost and impact on the reader,Relevant
Different spots can be chosen on the website,Irrelevant
One option of advertising on the website is through storytelling  which has been a growing tendency in the previous years,Relevant
In this case  advertising is made through an interview of a representative of the concerned company  ending with a link to the company s website,Relevant
The interview is in this case realized after the writing of the contract,Relevant
An advertisement may appear one or multiple times  depending on the agreement that has been made between the sales teams and the advertiser,Relevant
Once the advertiser has decided what he wishes to do  a contract is written by the sales department of Sudpresse,Relevant
When it is done  the contract is sent to the advertiser,Relevant
The contract is often approved by the advertisers,Relevant
If it is not  the contract is reviewed,Relevant
A contract is never abandoned because if a contract has been written  it is because there is a demand from an advertiser,Irrelevant
The advert is then created and published in the chosen canals with a determined frequency and time frame,Relevant
The catering process starts when a customer calls a Poivre Sel point of sale for its services,Relevant
One of the employees answers the phone call and asks automatically for the date and the number and variety of products wanted,Relevant
The employee then asks for the customer s usual point of sale,Relevant
If the client doesn t call his her usual point of sale  the employee has to conduct the customer to the usual one and the order is sent there,Relevant
If the client is a new or a usual one  10 the employee then asks for the address,Relevant
Afterwards  he checks the availability of the employees on this date and this address,Relevant
If none of the employees is available  the process ends,Relevant
Otherwise  the employee answering the call determines the type category of the client and as a result of this proposes a series of products specific to the client,Relevant
It is then the job of the franchisor  CEO  to emit the invoice to the client,Relevant
He receives the payment and checks if there is any missing information,Relevant
If information is missing  he sends a formal notice to the customer with the ERP system of Poivre Sel  Teamleader ,Relevant
The franchisor receives the missing information and if it is still missing the purchase order is rejected,Relevant
When the payment is completed  the employees can start the order,Relevant
They deliver the order at the social event and the purchase order is completed,Relevant
The franchising process is quite simple,Irrelevant
Anyone interested in becoming a franchisee can obtain information at a point of sale or and on the website,Relevant
He then contacts Mr  Buche to ask him if he can become a franchisee,Relevant
Then Mr  Buche will meet with the interested party to explain the principle of his company and its history,Relevant
